source;hyperlink;locality;postcode;house_is;property_subtype;price;sale;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has
7;https://www.immoweb.be/en/classified/apartment/for-sale/bredene/8450/8958180;bredene;8450;FALSE;apartment;228500;None;2;86;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/8958176;oostende;8400;FALSE;apartment;149000;None;3;97;TRUE;FALSE;TRUE;TRUE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/kapellen/2950/8958157;kapellen;2950;FALSE;apartment;250000;None;3;94;TRUE;FALSE;FALSE;TRUE;25;TRUE;154;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/flat-studio/for-sale/oostende/8400/8958170;oostende;8400;FALSE;flat-studio;105000;None;None;42;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/duplex/for-sale/jette/1090/8958168;jette;1090;FALSE;duplex;220000;None;2;88;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;1;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/machelen/1830/8958166;machelen;1830;FALSE;apartment;299000;None;2;90;FALSE;FALSE;FALSE;TRUE;24;TRUE;100;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/triplex/for-sale/st-gilles/1060/8958162;st-gilles;1060;FALSE;triplex;396000;None;4;240;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/8958154;knokke;8300;FALSE;apartment;950000;None;2;87;TRUE;FALSE;TRUE;TRUE;10;FALSE;None;None;None;4;FALSE
7;https://www.immoweb.be/en/classified/flat-studio/for-sale/gent/9000/8869780;gent;9000;FALSE;flat-studio;150000;None;1;44;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/tournai/7500/8958143;tournai;7500;FALSE;apartment;160000;None;1;90;TRUE;FALSE;FALSE;TRUE;None;TRUE;10;None;None;4;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/8784533;brussels-city;1000;FALSE;apartment;290000;None;1;95;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;1;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/lebbeke/9280/8958134;lebbeke;9280;FALSE;apartment;249000;None;2;100;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/8958130;berchem;2600;FALSE;apartment;229000;None;1;75;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;1;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/kalken/9270/8958114;kalken;9270;FALSE;apartment;297000;None;2;97;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/8958110;gent;9000;FALSE;apartment;329000;None;1;113;TRUE;FALSE;FALSE;TRUE;13;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/8958109;etterbeek;1040;FALSE;apartment;385000;None;2;110;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/ground-floor/for-sale/antwerp-2/2020/8958101;antwerp-2;2020;FALSE;ground-floor;265000;None;1;90;TRUE;FALSE;FALSE;TRUE;None;TRUE;105;None;None;1;FALSE
7;https://www.immoweb.be/en/classified/ground-floor/for-sale/willebroek/2830/8958106;willebroek;2830;FALSE;ground-floor;215000;None;2;89;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/duplex/for-sale/stabroek/2940/8958105;stabroek;2940;FALSE;duplex;499000;None;3;220;TRUE;FALSE;FALSE;TRUE;None;TRUE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/rocourt/4000/8958100;rocourt;4000;FALSE;apartment;195000;None;2;93;TRUE;FALSE;FALSE;TRUE;16;TRUE;21;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/8957075;wavre;1300;FALSE;apartment;365000;None;3;138;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/8958086;brussels-city;1000;FALSE;apartment;368000;None;2;91;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/arendonk/2370/8958140;arendonk;2370;TRUE;house;295000;None;3;170;TRUE;FALSE;FALSE;TRUE;None;TRUE;None;None;670;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/moen/8552/8958135;moen;8552;TRUE;house;189000;None;4;168;TRUE;FALSE;FALSE;TRUE;None;TRUE;None;None;170;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/landelies/6111/8958133;landelies;6111;TRUE;house;255000;None;3;175;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/town-house/for-sale/laeken/1020/8958125;laeken;1020;TRUE;town-house;495000;None;4;200;TRUE;FALSE;FALSE;TRUE;40;TRUE;150;None;291;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/sint-gillis-waas/9170/8831799;sint-gillis-waas;9170;TRUE;house;199000;None;3;118;TRUE;FALSE;FALSE;TRUE;None;TRUE;457;None;575;4;FALSE
7;https://www.immoweb.be/en/classified/villa/for-sale/mariakerke/9030/8958119;mariakerke;9030;TRUE;villa;950000;None;3;471;TRUE;FALSE;FALSE;FALSE;None;TRUE;None;None;840;4;TRUE
7;https://www.immoweb.be/en/classified/house/for-sale/gent/9000/8958115;gent;9000;TRUE;house;545000;None;3;158;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/zaventem/1930/8958098;zaventem;1930;TRUE;house;449000;None;3;None;TRUE;FALSE;FALSE;TRUE;25;TRUE;None;None;710;4;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/zelem/3545/8958027;zelem;3545;TRUE;house;229000;None;3;None;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;800;1;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/merksem/2170/8957710;merksem;2170;TRUE;house;240000;None;3;175;TRUE;FALSE;FALSE;TRUE;None;TRUE;135;None;225;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/brasschaat/2930/8958082;brasschaat;2930;TRUE;house;549000;None;4;175;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;625;4;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/berlaar/2590/8958073;berlaar;2590;TRUE;house;375000;None;3;175;TRUE;FALSE;FALSE;TRUE;None;TRUE;100;None;200;2;FALSE
