Unnamed: 0;hyperlink;locality;postcode;house_is;property_subtype;price;sale;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has;duplicates;null
7;https://www.immoweb.be/en/classified/flat-studio/for-sale/blankenberge/8370/8922195;blankenberge;8370;No;flat-studio;129000;None;None;61;Yes;No;No;No;None;No;None;None;None;None;No;0;8
7;https://www.immoweb.be/en/classified/apartment/for-sale/brasschaat/2930/8937414;brasschaat;2930;No;apartment;250000;None;2;105;Yes;No;No;Yes;None;No;None;None;None;2;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-st-jean/1080/8937410;molenbeek-st-jean;1080;No;apartment;149000;None;1;55;Yes;No;No;No;None;No;None;None;None;2;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/8937417;waterloo;1410;No;apartment;327000;None;2;85;No;No;Yes;Yes;16;No;None;None;None;4;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/8937413;uccle;1180;No;apartment;495000;None;3;142;Yes;No;No;Yes;14;No;None;None;None;2;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/bertrix/6880/8937411;bertrix;6880;No;apartment;249900;None;3;130;No;No;No;Yes;11;No;None;None;None;None;No;0;6
7;https://www.immoweb.be/en/classified/flat-studio/for-sale/berchem/2600/8937393;berchem;2600;No;flat-studio;None;None;1;None;No;No;No;Yes;None;No;None;None;None;None;No;0;9
7;https://www.immoweb.be/en/classified/villa/for-sale/yvoir/5530/8826256;yvoir;5530;Yes;villa;220000;None;4;160;Yes;No;No;Yes;None;Yes;1319;None;1319;4;No;0;4
7;https://www.immoweb.be/en/classified/house/for-sale/labuissiere/6567/8945162;labuissiere;6567;Yes;house;95000;None;3;154;Yes;No;No;No;None;Yes;25;None;200;2;No;0;4
7;https://www.immoweb.be/en/classified/house/for-sale/forest/1190/8929682;forest;1190;Yes;house;395000;None;4;140;Yes;No;No;Yes;20;Yes;50;None;217;3;No;0;3
7;https://www.immoweb.be/en/classified/mansion/for-sale/fontaine-leveque/6140/8945154;fontaine-leveque;6140;Yes;mansion;250000;None;3;166;Yes;No;No;Yes;16;No;None;None;875;3;No;0;4
7;https://www.immoweb.be/en/classified/house/for-sale/paturages/7340/8945149;paturages;7340;Yes;house;225000;None;3;None;Yes;No;No;No;None;No;None;None;None;None;No;0;8
7;https://www.immoweb.be/en/classified/apartment-block/for-sale/edegem/2650/8945146;edegem;2650;Yes;apartment-block;469000;None;4;265;No;No;No;Yes;None;No;None;None;210;2;No;0;5
7;https://www.immoweb.be/en/classified/house/for-sale/oupeye/4680/8945128;oupeye;4680;Yes;house;209900;None;4;125;Yes;No;No;Yes;23;Yes;200;None;419;3;No;0;3
7;https://www.immoweb.be/en/classified/villa/for-sale/wezemaal/3111/8945110;wezemaal;3111;Yes;villa;565000;None;6;259;Yes;No;No;No;None;No;None;None;3943;4;No;0;5
7;https://www.immoweb.be/en/classified/bungalow/for-sale/fleron/4620/8787794;fleron;4620;Yes;bungalow;255000;None;3;175;No;No;No;No;None;Yes;680;None;680;4;No;0;4
7;https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/8945117;waterloo;1410;Yes;house;540000;None;5;200;No;No;No;Yes;40;Yes;250;None;306;2;No;0;3
7;https://www.immoweb.be/en/classified/house/for-sale/borgerhout/2140/8945124;borgerhout;2140;Yes;house;220000;None;4;188;Yes;No;No;Yes;None;No;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/house/for-sale/lier/2500/8921952;lier;2500;Yes;house;339000;None;2;167;Yes;No;No;Yes;None;Yes;97;None;279;3;No;0;4
7;https://www.immoweb.be/en/classified/villa/for-sale/le-roeulx/7070/8945106;le-roeulx;7070;Yes;villa;475000;None;4;180;No;No;No;Yes;80;Yes;350;None;568;4;No;0;3
7;https://www.immoweb.be/en/classified/villa/for-sale/le-roeulx/7070/8945105;le-roeulx;7070;Yes;villa;385000;None;4;180;No;No;No;Yes;80;Yes;350;None;568;4;No;0;3
7;https://www.immoweb.be/en/classified/house/for-sale/liege-2/4020/8945083;liege-2;4020;Yes;house;50000;None;2;75;No;No;No;No;None;No;None;None;25;2;No;0;5
7;https://www.immoweb.be/en/classified/house/for-sale/monceau-sur-sambre/6031/8945081;monceau-sur-sambre;6031;Yes;house;169999;None;3;142;Yes;No;No;Yes;None;No;None;None;250;3;No;0;5
7;https://www.immoweb.be/en/classified/house/for-sale/chatelineau/6200/8945080;chatelineau;6200;Yes;house;195000;None;4;212;Yes;No;No;Yes;28;No;None;None;120;2;No;0;4
7;https://www.immoweb.be/en/classified/exceptional-property/for-sale/denderhoutem/9450/8945078;denderhoutem;9450;Yes;exceptional-property;590000;None;4;236;Yes;No;No;Yes;53;Yes;1103;None;1548;4;No;0;3
7;https://www.immoweb.be/en/classified/castle/for-sale/courcelles/6180/8945072;courcelles;6180;Yes;castle;450000;None;5;225;Yes;No;No;Yes;None;No;None;None;1100;3;No;0;5
7;https://www.immoweb.be/en/classified/house/for-sale/brasschaat/2930/8945070;brasschaat;2930;Yes;house;3850000;None;5;1400;Yes;No;No;Yes;None;No;None;None;10000;4;Yes;0;5
7;https://www.immoweb.be/en/classified/house/for-sale/boussu-hornu/7301/8900139;boussu-hornu;7301;Yes;house;140000;None;2;None;Yes;No;No;Yes;None;No;None;None;140;2;No;0;6
7;https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ham-sur-sambre/5190/8945064;ham-sur-sambre;5190;Yes;mixed-use-building;124900;None;4;None;No;No;No;No;None;No;None;None;406;4;No;0;6
7;https://www.immoweb.be/en/classified/house/for-sale/antwerpen-deurne/2100/8945060;antwerpen-deurne;2100;Yes;house;525000;None;4;205;Yes;No;No;Yes;10;No;None;None;122;2;No;0;4
7;https://www.immoweb.be/en/classified/house/for-sale/virton/6761/8945059;virton;6761;Yes;house;319000;None;3;252;Yes;No;No;Yes;None;Yes;709;None;None;3;Yes;0;5
7;https://www.immoweb.be/en/classified/house/for-sale/neufchateau/6840/8945057;neufchateau;6840;Yes;house;85000;None;5;169;Yes;No;No;No;None;No;None;None;122;2;No;0;5
7;https://www.immoweb.be/en/classified/apartment-block/for-sale/beauraing-feschaux/5570/8945051;beauraing-feschaux;5570;Yes;apartment-block;950000;None;None;None;Yes;No;No;Yes;None;No;None;None;None;4;No;0;8
7;https://www.immoweb.be/en/classified/house/for-sale/hoeselt/3730/8945048;hoeselt;3730;Yes;house;489000;None;4;208;No;No;No;Yes;None;Yes;2440;None;2640;3;No;0;4
